reactant_xyz,product_xyz,barrier_kcal/mol
6456635041b6d312697ffa85,6456635041b6d312697ffa88,241.787254864795
6456637d0ab6f247ba293425,6456637d0ab6f247ba293428,22.3482342799545
645663a8c5a8757a64233635,645663a8c5a8757a64233638,22.5676362576946
6456645051a5d938ae1fea75,6456645051a5d938ae1fea78,22.6434499226998
6456645793b83767445b5c25,6456645793b83767445b5c28,22.4019170833498
6456634581681f624b1fea72,6456634481681f624b1fea67,118.464942073348
6456634b7bcdc91f2e068a0f,6456634b7bcdc91f2e068a04,116.347293092442
645663c0031c012e0e1d80b5,645663c0031c012e0e1d80b8,324.985358144826
645663c4621eee56312c50c8,645663c4621eee56312c50cb,382.383343093553
645663c62e850a726c4b6a68,645663c62e850a726c4b6a6b,382.324835671884
645663e65afde52407224148,645663e65afde5240722414b,382.492802273732
6456642eb1e1045487408608,6456642eb1e104548740860b,382.338917801734
645663ba772cc674a44b6a65,645663b9772cc674a44b6a5a,400.633535019561
645663ba55cacc23201fea75,645663ba55cacc23201fea6a,400.522071795449
645663ba2699221dab233638,645663ba2699221dab23363b,369.599807408924
645663bb73fac362fb399e48,645663bb73fac362fb399e4b,372.220957644357
645663d3358358201c242a38,645663d3358358201c242a3b,375.628597563088
645663de72fdbd7da97b9258,645663de72fdbd7da97b925b,374.063328239097
645664110c4caa1e9233a748,645664110c4caa1e9233a74b,370.285320376024
64566412036d2368ec7ffa88,64566413036d2368ec7ffa8b,369.241089594107
645664277d05d844cc230d78,645664277d05d844cc230d7b,371.38439364459
6456642b42068d7a696a6038,6456642b42068d7a696a603b,371.870583667503
645663c4bc542c244d248af4,645663c4bc542c244d248af7,88.5244047739798
645663c6d6069d335b374198,645663c6d6069d335b37419b,231.215793205332
645663cd8101152ec6293428,645663cd8101152ec629342b,232.981830548632
6456642ab6791666646aac68,6456642bb6791666646aac6b,248.064599757155
6456642b2d81d740802cdf88,6456642b2d81d740802cdf8b,233.102837989072
6456642f920c593a2c7ffa88,6456642f920c593a2c7ffa8b,232.972446487729
645663cf08cae852826a6032,645663cf08cae852826a6027,320.857718795866
645663d6ea72620c032c50c2,645663d6ea72620c032c50b7,320.753285084499
645663d828a1dd6593671002,645663d6ea72620c032c50b7,320.891125128195
6456643cf1741a31cd6aac62,6456643bf1741a31cd6aac57,320.786416526997
645663e12b24f11e274dd538,645663e12b24f11e274dd53b,118.377913324074
645663d1afb7166aee4dd538,645663d2afb7166aee4dd53b,68.3142618775522
64566428f3854633e9224148,64566429f3854633e922414b,68.2203847748842
645663766f3f4e7fcf0876f2,645663766f3f4e7fcf0876e7,379.152349153281
645663b6bd9fec7334763452,645663b6bd9fec7334763447,379.397925524366
645663cfc46f8c5753248ae2,645663b6bd9fec7334763447,372.20799345228
645663d0eb697476904b65f2,645663cfeb697476904b65e7,370.311412066259
645663d06dd2db15cd40f1f2,645663b6bd9fec7334763447,379.072662876222
645663d072fbb64bc5763452,645663cfeb697476904b65e7,369.985149365253
6456640ae9a4c903520b39d2,645663b6bd9fec7334763447,379.069611258118
6456640c5dc867585d233632,645663cfeb697476904b65e7,379.099336114745
6456642d3a885b4e402c50c2,645663b6bd9fec7334763447,379.597129533424
6456646fee49a57b916b0e12,645663cfeb697476904b65e7,370.071988553428
64566471f4cc76765b6a6032,645663b6bd9fec7334763447,379.213301440116
6456634461fd797b3e5b5c28,6456634561fd797b3e5b5c2b,267.267937056711
645663458f564e1c2f230d78,645663458f564e1c2f230d7b,267.384919606088
64566345004d673e66399e48,64566345004d673e66399e4b,267.145426780172
64566355ae35b44094399e48,64566355ae35b44094399e4b,173.612432485656
64566355f3e5f03b965eb028,64566355f3e5f03b965eb02b,173.686314570469
645663645923173b88671008,645663645923173b8867100b,172.83419658568
645663688a4f4c457f1aaa18,645663688a4f4c457f1aaa1b,172.918922246612
6456637b4f3f9a4bb2248ae8,6456637b4f3f9a4bb2248aeb,173.867471157512
645663a47847162e27248ae8,645663a47847162e27248aeb,173.300194678556
645663a5c25d4344a20b39d8,645663a5c25d4344a20b39db,173.042536283047
645663a7449ece55ec1fea78,645663a7449ece55ec1fea7b,173.508784586139
645663c5fbaaa949495eb028,645663c5fbaaa949495eb02b,173.128827529482
645663c9c551294cae1fea78,645663c9c551294cae1fea7b,172.820140973365
645663ca4f69a51cd0408608,645663ca4f69a51cd040860b,173.055056765751
645663ca60eabc5f59399e48,645663ca60eabc5f59399e4b,173.309597380429
645663dd6f325655d36b0e18,645663dd6f325655d36b0e1b,173.077030622442
645663ecced6344ecc7b9258,645663ecced6344ecc7b925b,173.394257141299
645663ef5797bc3f524b65f8,645663ef5797bc3f524b65fb,173.695642445498
645663f3c200525bec068a18,645663f3c200525bec068a1b,173.117567024192
645663fc7083cd35c14609e8,645663fc7083cd35c14609eb,173.571896608941
645664009c980d65491d80b8,645664009c980d65491d80bb,172.687650910057
64566435644d8930822abdd8,64566435644d8930822abddb,173.75834384029
6456644b4393fb036f2eaab8,6456644b4393fb036f2eaabb,173.09644120387
645663a9b1fdfb3b63399e48,645663a9b1fdfb3b63399e4b,402.727481252043
645663a9a57aa254f15b5c28,645663aaa57aa254f15b5c2b,402.682974569999
645663aa84c39d6314230d78,645663ab84c39d6314230d7b,401.853163355077
645663ad1d5c1a13191d80b8,645663ae1d5c1a13191d80bb,402.698826811581
645663ae7888644cdb0876f8,645663ae7888644cdb0876fb,402.679744155051
645663fc3dd64353d0374198,645663fc3dd64353d037419b,403.186250031855
645663fc8c45d037270b39d8,645663fc8c45d037270b39db,402.305245512324
645663fe41c0340f44233638,645663ff41c0340f4423363b,402.737940980054
645664403cbd2472cb230d78,645664403cbd2472cb230d7b,402.868241114021
64566391d6e31f1a9f7ffa85,64566392d6e31f1a9f7ffa88,353.220788858473
645663a3489964404f5eb025,645663a3489964404f5eb028,370.677748030673
645663a44076364c8d2abdd5,645663a44076364c8d2abdd8,371.0533611983
645663ccd0a2da45d22cdf85,645663ccd0a2da45d22cdf88,370.909685719063
6456643d63e9eb10894609e5,6456643d63e9eb10894609e8,370.533003448007
6456635819c541397c1aaa15,6456635719c541397c1aaa0a,427.495281480828
6456635831239f3c2f4dd535,6456635831239f3c2f4dd52a,427.524009435248
6456635805e79708990876f5,6456635831239f3c2f4dd52a,427.371299611783
6456637dfdd6bb1f735b5c25,6456635831239f3c2f4dd52a,427.284636594681
64566382c0dc8376786aac65,6456635831239f3c2f4dd52a,427.37324930791
645664383f82ff4af94b6a65,645664383f82ff4af94b6a68,325.516891071528
6456647e88e5695e111688f5,6456647e88e5695e111688f8,327.676264755111
6456643e3254b8024c248aeb,6456643e3254b8024c248aee,131.050286666772
6456645b36dd301f25068a1b,6456645b36dd301f25068a1e,138.609906416303
64566462362fc2175a4609e5,64566462362fc2175a4609e8,423.772605234948
6456647209725e04a22cdf85,6456647209725e04a22cdf88,49.4511150292551
64566481daf4142887230d78,64566481daf4142887230d7b,311.933409230474
645664a37f0bc612642a1578,645664a37f0bc612642a157b,308.705390769025
645664a6ce3e1502687c7c48,645664a6ce3e1502687c7c4b,309.50266337925
645664a63195b8257d390828,645664a63195b8257d39082b,308.082506732828
645664badfb05d78dc7cab88,645664badfb05d78dc7cab8b,308.494507750027
645664e4985a457d3d6b0e18,645664e4985a457d3d6b0e1b,311.121179411386
645666ce215c8b72423eadd8,645666ce215c8b72423eaddb,311.849926218498
645666d102f2dd387e763458,645666d102f2dd387e76345b,310.669586384758
645666d146168f4e8c2c50c8,645666d146168f4e8c2c50cb,310.222454082002
645666d2ad67602bf8293428,645666d2ad67602bf829342b,311.932810879136
645666d2ba8f364ba9159878,645666d3ba8f364ba915987b,310.876091908178
645666d4f26a013249324928,645666d4f26a01324932492b,308.867422954132
645666d41ffb490eb44ed2b8,645666d41ffb490eb44ed2bb,309.106665307464
645666d8b0963c1d4b0b5358,645666d8b0963c1d4b0b535b,306.784416916089
645666d90ec4672a35750ef8,645666d90ec4672a35750efb,311.517454998473
645666e18983e87c6b6cd4b8,645666e18983e87c6b6cd4bb,319.24023747321
645666ebcb2bc725d36cdb48,645666ebcb2bc725d36cdb4b,309.200343134549
645666ef2d9f6a1bef230d78,645666ef2d9f6a1bef230d7b,308.86492846692
645666f1afafd278371fea78,645666f1afafd278371fea7b,317.644654917958
645666f5721c93639a5eb028,645666f5721c93639a5eb02b,309.569282019417
